PredCode,package,Original,Predicted,Thrown
[-],retrieve*from*file@wget@wget,retrieve*from*file,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],full*path*write@wget@wget,full*path*write,argp*hol,['BLANK'; 'BLANK'; 'BLANK']
[-],ftp*retr@wget@wget,ftp*retr,openat*save*fail,['BLANK'; 'BLANK']
[-],home*dir@wget@wget,home*dir,load,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],prune*non*exact@wget@wget,prune*non*exact,ukshow*params,['BLANK'; 'file'; 'BLANK']
[-],calculate*skey*response@wget@wget,calculate*skey*response,,['UNK'; 'BLANK'; 'label'; 'BLANK'; 'BLANK']
[-],proclist@wget@wget,proclist,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],make*directory@wget@wget,make*directory,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],add*path@wget@wget,add*path,adns*parse*domain,['BLANK'; 'BLANK']
[-],md5*process*bytes@wget@wget,md5*process*bytes,get*char,['BLANK'; 'BLANK'; 'BLANK']
[-],logputs@wget@wget,logputs,open,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[±],path*simplify@wget@wget,path*simplify,minimize*path,['BLANK']
[-],http*loop@wget@wget,http*loop,output*format*destroy,['BLANK']
[-],retrieve*url@wget@wget,retrieve*url,add*reference*num,['BLANK']
[-],convert*links@wget@wget,convert*links,location,['UNK'; 'BLANK']
[-],cookie*jar*generate*cookie*header@wget@wget,cookie*jar*generate*cookie*header,locale*charset,['BLANK']
[+],fdutimens@gzip@gzip,fdutimens,fdutimens,['BLANK']
[+],lutimens@gzip@gzip,lutimens,lutimens,['BLANK']
[+],streamsavedir@gzip@gzip,streamsavedir,streamsavedir,['BLANK']
[+],grecs*format*node@direvent@direvent,grecs*format*node,grecs*format*node,['BLANK']
[-],process*event@direvent@direvent,process*event,prt*opt*arg,['BLANK']
[-],cb*path@direvent@direvent,cb*path,xlat,['UNK'; 'BLANK']
[-],run*handler@direvent@direvent,run*handler,ftpfs*list,['BLANK']
[-],free*hstat@wget@wget,free*hstat,argp*args,['BLANK'; 'BLANK'; 'BLANK']
[-],alarm*set@wget@wget,alarm*set,int*int,['BLANK'; 'BLANK'; 'BLANK']
[-],cmd*vector@wget@wget,cmd*vector,Barcode*93*verify,['BLANK'; 'BLANK']
[-],res*parse*from*file@wget@wget,res*parse*from*file,info*server,['UNK'; 'BLANK'; 'BLANK']
[±],hash*table*get*pair@wget@wget,hash*table*get*pair,hash*find,['BLANK'; 'BLANK'; 'BLANK']
[-],split*path@wget@wget,split*path,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],suffix@wget@wget,suffix,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],find*attr@wget@wget,find*attr,re*string*parse*insert,['BLANK']
[-],match*user*agent@wget@wget,match*user*agent,get*bool,['BLANK'; 'BLANK'; 'BLANK']
[-],cmd*directory@wget@wget,cmd*directory,find*name,['BLANK'; 'BLANK'; 'BLANK']
[-],read*file*free@wget@wget,read*file*free,alog*remote*ip,['BLANK'; 'BLANK']
[-],dot*update@wget@wget,dot*update,cbuf*find*unread,['BLANK'; 'BLANK']
[-],path*matches@wget@wget,path*matches,xbasename,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],nuke*cookie*chain@wget@wget,nuke*cookie*chain,free*callback,['BLANK'; 'BLANK'; 'BLANK']
[-],base64*encode@wget@wget,base64*encode,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],acceptport@wget@wget,acceptport,generate*crq*info,['UNK'; 'BLANK']
[-],iread@wget@wget,iread,do*restart,['BLANK'; 'BLANK'; 'BLANK']
[-],find*last*char@wget@wget,find*last*char,,['UNK'; 'BLANK'; 'line'; 'BLANK'; 'BLANK']
[-],unique*name*1@wget@wget,unique*name*1,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],downloaded*mode*to*ptr@wget@wget,downloaded*mode*to*ptr,get*symbol*visibility,['BLANK'; 'BLANK']
[-],ftp*process*type@wget@wget,ftp*process*type,isar*parse*check,['BLANK'; 'BLANK']
[-],herrmsg@wget@wget,herrmsg,,['UNK'; 'UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],equality*comparator@wget@wget,equality*comparator,b*auth,['BLANK'; 'BLANK'; 'BLANK']
[-],cmd*spec*mirror@wget@wget,cmd*spec*mirror,mh*set*reply*regex,['BLANK']
[-],free*urlpos@wget@wget,free*urlpos,,['UNK'; 'BLANK'; 'BLANK'; 'UNK'; 'BLANK']
[-],has*wildcards*p@wget@wget,has*wildcards*p,string*size,['BLANK'; 'BLANK'; 'BLANK']
[-],delete*cookie@wget@wget,delete*cookie,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],valid*progress*implementation*p@wget@wget,valid*progress*implementation*p,builtin*decode,['BLANK'; 'BLANK'; 'BLANK']
[±],free*specs@wget@wget,free*specs,free*url,['BLANK'; 'BLANK'; 'BLANK']
[-],conaddr@wget@wget,conaddr,,['UNK'; 'BLANK'; 'parse'; 'BLANK'; 'BLANK']
[-],address*list*set*faulty@wget@wget,address*list*set*faulty,re*string*add*inode,['BLANK']
[-],accdir@wget@wget,accdir,handle*type,['BLANK'; 'BLANK'; 'BLANK']
[-],host*cleanup*mapper@wget@wget,host*cleanup*mapper,,['UNK'; 'BLANK'; 'UNK'; 'BLANK'; 'BLANK']
[-],has*insecure*name*p@wget@wget,has*insecure*name*p,fsysdep,['UNK'; 'start'; 'BLANK'; 'BLANK']
[-],wtimer*elapsed@wget@wget,wtimer*elapsed,,['UNK'; 'BLANK'; 'and'; 'BLANK'; 'BLANK']
[-],abort*run*with*timeout@wget@wget,abort*run*with*timeout,int*calc*key,['BLANK'; 'int']
[±],hash*table*map@wget@wget,hash*table*map,hash*map,['BLANK'; 'BLANK'; 'BLANK']
[-],ftp*get*listing@wget@wget,ftp*get*listing,edit*replace*sequence,['BLANK'; 'BLANK']
[-],connect*to*many@wget@wget,connect*to*many,argp*fmtstream*hol,['BLANK'; 'BLANK']
[-],tag*handle*link@wget@wget,tag*handle*link,host*is*localhost,['BLANK'; 'BLANK']
[-],saved*append@wget@wget,saved*append,is*control,['BLANK'; 'BLANK'; 'BLANK']
[-],connect*with*timeout@wget@wget,connect*with*timeout,configFileLoad,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],dot*create@wget@wget,dot*create,add*option,['BLANK'; 'BLANK'; 'BLANK']
[±],bar*create@wget@wget,bar*create,create*table,['BLANK'; 'BLANK'; 'BLANK']
[-],update*speed*ring@wget@wget,update*speed*ring,sfn,['BLANK'; 'ctype'; 'BLANK'; 'BLANK']
[-],freefileinfo@wget@wget,freefileinfo,cleanup,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],skip*lws@wget@wget,skip*lws,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],cmd*spec*useragent@wget@wget,cmd*spec*useragent,pop3d,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],gethostbyname*with*timeout@wget@wget,gethostbyname*with*timeout,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],rbuf*peek@wget@wget,rbuf*peek,,['UNK'; 'BLANK'; 'fn'; 'BLANK'; 'BLANK']
[-],rbuf*flush@wget@wget,rbuf*flush,config*free,['BLANK'; 'BLANK'; 'BLANK']
[-],log*init@wget@wget,log*init,xrealloc,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],remove*link@wget@wget,remove*link,mimetypes*open,['BLANK'; 'BLANK'; 'BLANK']
[-],delelement@wget@wget,delelement,free*buffer,['BLANK'; 'BLANK'; 'add']
[-],findcmd@wget@wget,findcmd,read*files,['BLANK'; 'BLANK'; 'BLANK']
[±],address*list*match*all@wget@wget,address*list*match*all,group*match,['BLANK'; 'BLANK'; 'BLANK']
[+],last*component@gzip@gzip,last*component,last*component,['BLANK'; 'BLANK'; 'BLANK']
[-],copy*block@gzip@gzip,copy*block,dump,['UNK'; 'BLANK'; 'token'; 'BLANK']
[+],base*len@gzip@gzip,base*len,base*len,['BLANK'; 'BLANK'; 'BLANK']
[-],atdir*eq@gzip@gzip,atdir*eq,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],open*safer@gzip@gzip,open*safer,open*safer,['BLANK'; 'BLANK'; 'BLANK']
[-],updcrc@gzip@gzip,updcrc,hash,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],xcalloc@gzip@gzip,xcalloc,xcalloc,['BLANK'; 'name'; 'BLANK'; 'BLANK']
[-],defevt@direvent@direvent,defevt,getuidbyname,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],grecs*txtacc*grow*string*escape@direvent@direvent,grecs*txtacc*grow*string*escape,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[±],hashtab*strerror@direvent@direvent,hashtab*strerror,grecs*symtab*strerror,['BLANK'; 'BLANK']
[+],wsnode*append@direvent@direvent,wsnode*append,wsnode*append,['BLANK'; 'BLANK'; 'BLANK']
[-],grecs*tree*free@direvent@direvent,grecs*tree*free,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],grecs*list*index@direvent@direvent,grecs*list*index,hol*cluster*base,['BLANK'; 'BLANK']
[+],wordsplit*finish@direvent@direvent,wordsplit*finish,wordsplit*finish,['BLANK'; 'buffer'; 'BLANK']
[-],target*ptr@direvent@direvent,target*ptr,grecs*symtab*clear,['BLANK'; 'BLANK']
[+],ident@direvent@direvent,ident,ident,['BLANK'; '1'; 'BLANK'; 'BLANK']
[-],proc*push@direvent@direvent,proc*push,list*cmp,['BLANK'; 'BLANK'; 'BLANK']
[±],hashent*alloc@direvent@direvent,hashent*alloc,syment*alloc,['BLANK'; 'BLANK'; 'BLANK']
[-],grecs*error@direvent@direvent,grecs*error,mh*getyn,['BLANK'; 'BLANK'; 'BLANK']
[±],grecs*txtacc*entry*tailor@direvent@direvent,grecs*txtacc*entry*tailor,grecs*txtacc*entry,['UNK'; 'BLANK']
[-],grecs*warning@direvent@direvent,grecs*warning,mh*getyn,['BLANK'; 'BLANK'; 'BLANK']
[±],proc*unlink@direvent@direvent,proc*unlink,unlink*prog,['BLANK'; 'BLANK'; 'BLANK']
[-],filename*pattern*free@direvent@direvent,filename*pattern*free,cb,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],add*proc@xargs@findutils,add*proc,get*link*from*dirent,['BLANK']
[+],close*stdout@xargs@findutils,close*stdout,close*stdout,['BLANK'; 'BLANK'; 'BLANK']
[+],xrealloc@xargs@findutils,xrealloc,xrealloc,['BLANK'; 'line'; 'BLANK'; 'BLANK']
[-],exceeds@xargs@findutils,exceeds,fsysdep*parse*file,['BLANK'; 'BLANK']
[+],is*basic@xargs@findutils,is*basic,is*basic,['BLANK'; 'BLANK'; 'BLANK']
[+],clone*quoting*options@xargs@findutils,clone*quoting*options,clone*quoting*options,['BLANK'; 'BLANK']
[-],url*dequeue@wget@wget,url*dequeue,fh,['UNK'; 'BLANK'; 'value'; 'BLANK'; 'BLANK']
[-],legible*1@wget@wget,legible*1,msg*to*str*string,['BLANK'; 'BLANK']
[-],hash*table*put@wget@wget,hash*table*put,dump*id,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],address*list*from*vector@wget@wget,address*list*from*vector,mc*input,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],descend*redirect*p@wget@wget,descend*redirect*p,hostlist*delete,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],dot*finish@wget@wget,dot*finish,comma,['BLANK'; 'UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],find*matching*cookie@wget@wget,find*matching*cookie,profile,['BLANK'; 'service'; 'BLANK'; 'BLANK'; 'BLANK']
[-],acceptable@wget@wget,acceptable,get*one*file,['BLANK'; 'BLANK'; 'BLANK']
[-],full*path*length@wget@wget,full*path*length,argp*hol,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[±],md5*finish*ctx@wget@wget,md5*finish*ctx,md5*finish*ctx*add,['BLANK'; 'BLANK']
[-],goodness*comparator@wget@wget,goodness*comparator,dev*ino*hash*compare,['BLANK'; 'BLANK']
[-],run*with*timeout@wget@wget,run*with*timeout,physmem*total,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[±],grow*hash*table@wget@wget,grow*hash*table,hash*insert*at,['BLANK'; 'BLANK'; 'params']
[-],url*enqueue@wget@wget,url*enqueue,hash*get*next,['BLANK'; 'BLANK'; 'BLANK']
[-],wget*sockaddr*set*address@wget@wget,wget*sockaddr*set*address,,['UNK'; 'BLANK'; 'BLANK'; 'hash'; 'BLANK'; 'BLANK']
[-],rotate*backups@wget@wget,rotate*backups,isdir,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],bar*finish@wget@wget,bar*finish,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],url*escape*dir@wget@wget,url*escape*dir,read*input,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],parse*credentials@wget@wget,parse*credentials,pa*hostaddr,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],mktime*from*utc@wget@wget,mktime*from*utc,catchSignals,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],symperms@wget@wget,symperms,extract,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],has*html*suffix*p@wget@wget,has*html*suffix*p,starttls*proto*to*port,['BLANK'; 'BLANK']
[-],replace*attr@wget@wget,replace*attr,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],limit*bandwidth@wget@wget,limit*bandwidth,my,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],append*char@wget@wget,append*char,coerce,['BLANK'; 'stack'; 'BLANK'; 'BLANK'; 'BLANK']
[-],clean*line@wget@wget,clean*line,,['UNK'; 'BLANK'; 'number'; 'BLANK'; 'BLANK'; 'BLANK']
[-],res*match*path@wget@wget,res*match*path,find*range,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],calc*rate@wget@wget,calc*rate,cmp,['BLANK'; 'UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],downloaded*file@wget@wget,downloaded*file,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[±],hash*table*new@wget@wget,hash*table*new,new*new*item,['BLANK'; 'BLANK'; 'BLANK']
[-],url*free@wget@wget,url*free,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],in*acclist@wget@wget,in*acclist,,['UNK'; 'BLANK'; 'contents'; 'BLANK'; 'BLANK'; 'BLANK']
[-],set*progress*implementation@wget@wget,set*progress*implementation,gtagsobjdir,['BLANK'; 'line'; 'BLANK'; 'BLANK'; 'server']
[-],run*command@wget@wget,run*command,init,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],read*error@gzip@gzip,read*error,xstrcoll,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],make*simple*name@gzip@gzip,make*simple*name,init,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],open*and*stat@gzip@gzip,open*and*stat,opendirat,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],fprint*off@gzip@gzip,fprint*off,cbuf*find*block,['BLANK'; 'BLANK'; 'BLANK']
[-],treat*file@gzip@gzip,treat*file,cipher*mac*bench,['BLANK'; 'BLANK'; 'BLANK']
[-],fill*inbuf@gzip@gzip,fill*inbuf,lex*next*text,['BLANK'; 'BLANK'; 'BLANK']
[+],optcmp@direvent@direvent,optcmp,optcmp,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[±],grecs*grecs*delete*buffer@direvent@direvent,grecs*grecs*delete*buffer,ali*yy*delete*buffer,['BLANK'; 'BLANK']
[-],dirwatcher*register@direvent@direvent,dirwatcher*register,builtin*addr,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],node*merge*stmt@direvent@direvent,node*merge*stmt,node*merge*stmt,['BLANK'; 'BLANK'; 'BLANK']
[-],grecs*node*unlink@direvent@direvent,grecs*node*unlink,symbol*free*menu,['BLANK'; 'BLANK'; 'BLANK']
[+],wordsplit*cmdexp@direvent@direvent,wordsplit*cmdexp,wordsplit*cmdexp,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],grecs*node*eq@direvent@direvent,grecs*node*eq,fconn,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],wsnode*len@direvent@direvent,wsnode*len,wsnode*len,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],grecs*symtab*get*index@direvent@direvent,grecs*symtab*get*index,hol*cluster*is*child,['BLANK'; 'BLANK']
[+],grecs*list*remove*entry@direvent@direvent,grecs*list*remove*entry,grecs*list*remove*entry,['BLANK'; 'BLANK']
[+],wordsplit*init0@direvent@direvent,wordsplit*init0,wordsplit*init0,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],grecs*match*first@direvent@direvent,grecs*match*first,pies*url*copy,['BLANK'; 'BLANK'; 'BLANK']
[-],hashtab*count@direvent@direvent,hashtab*count,grecs*symtab*enumerate,['BLANK'; 'BLANK'; 'BLANK']
[±],grecs*grecs*scan*buffer@direvent@direvent,grecs*grecs*scan*buffer,yy*scan*buffer,['BLANK'; 'BLANK'; 'BLANK']
[+],assign*locus@direvent@direvent,assign*locus,assign*locus,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],grecs*value*eq@direvent@direvent,grecs*value*eq,grecs*value*eq,['BLANK'; 'BLANK'; 'BLANK']
[+],grecs*parse*line*directive*cpp@direvent@direvent,grecs*parse*line*directive*cpp,grecs*parse*line*directive*cpp,['BLANK']
[+],grecs*list*locate@direvent@direvent,grecs*list*locate,grecs*list*locate,['BLANK'; 'BLANK'; 'BLANK']
[+],mbslen@xargs@findutils,mbslen,mbslen,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],opendir*safer@xargs@findutils,opendir*safer,opendir*safer,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[±],safe*read@xargs@findutils,safe*read,safe*write,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],read*string@xargs@findutils,read*string,aris*proof*to,['UNK'; 'BLANK'; 'BLANK']
[+],quotearg*alloc*mem@xargs@findutils,quotearg*alloc*mem,quotearg*alloc*mem,['BLANK'; 'BLANK'; 'BLANK']
[+],mb*copy@xargs@findutils,mb*copy,mb*copy,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],Cleanup@mod@mcsim,Cleanup,argp*hol,['BLANK']
[-],WriteCalcDeriv@mod@mcsim,WriteCalcDeriv,prt*ini*list,['BLANK']
[-],AddEquation@mod@mcsim,AddEquation,add*file*name,['BLANK']
[-],WriteScale@mod@mcsim,WriteScale,prt*opt*arg,['BLANK']
[+],parse*include@direvent@direvent,parse*include,parse*include,['BLANK']
[-],cb*user@direvent@direvent,cb*user,pies*check*or,['BLANK']
[+],grecs*str*to*cidr@direvent@direvent,grecs*str*to*cidr,grecs*str*to*cidr,['BLANK']
[-],wgetrc*file*name@wget@wget,wgetrc*file*name,,['UNK'; 'BLANK'; 'action'; 'BLANK'; 'BLANK'; 'BLANK']
[-],append*dir*structure@wget@wget,append*dir*structure,re*node*set*insert*copy,['BLANK']
[-],cmd*spec*header@wget@wget,cmd*spec*header,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],tag*find*urls@wget@wget,tag*find*urls,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],read*c*len@gzip@gzip,read*c*len,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],update*timespec@gzip@gzip,update*timespec,update*timespec,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],rsync*roll@gzip@gzip,rsync*roll,re*compile*class,['BLANK'; 'BLANK'; 'BLANK']
[+],rpl*fclose@gzip@gzip,rpl*fclose,rpl*fclose,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],flush*block@gzip@gzip,flush*block,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],longest*match@gzip@gzip,longest*match,getcmd,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],pqdownheap@gzip@gzip,pqdownheap,mpool*trim,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],read*buffer@gzip@gzip,read*buffer,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],unlzw@gzip@gzip,unlzw,alert*command,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],make*ofname@gzip@gzip,make*ofname,optionsMenu,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],wordsplit*free*envbuf@direvent@direvent,wordsplit*free*envbuf,wordsplit*free*envbuf,['BLANK'; 'BLANK'; 'BLANK']
[±],grecs*grecs*init*buffer@direvent@direvent,grecs*grecs*init*buffer,ali*yy*init*buffer,['BLANK'; 'BLANK']
[+],grecs*txtacc*finish@direvent@direvent,grecs*txtacc*finish,grecs*txtacc*finish,['BLANK'; 'BLANK'; 'BLANK']
[+],grecs*list*insert*entry@direvent@direvent,grecs*list*insert*entry,grecs*list*insert*entry,['BLANK'; 'BLANK']
[-],grecs*match*buf*create@direvent@direvent,grecs*match*buf*create,panel*init,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],node*expand@direvent@direvent,node*expand,node*expand,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],filename*pattern*match@direvent@direvent,filename*pattern*match,grecs*list*free,['BLANK'; 'BLANK'; 'BLANK']
[-],sysev*select@direvent@direvent,sysev*select,read*make,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],subwatcher*create@direvent@direvent,subwatcher*create,grecs*tree*locate,['BLANK'; 'BLANK'; 'BLANK']
[+],grecs*list*add@direvent@direvent,grecs*list*add,grecs*list*add,['BLANK'; 'BLANK'; 'BLANK']
[-],get*proc*max*fd@xargs@findutils,get*proc*max*fd,check*text,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],close*stream@xargs@findutils,close*stream,close*stream,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],visit*open*fds@xargs@findutils,visit*open*fds,,['UNK'; 'UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],close*stdin@xargs@findutils,close*stdin,close*stdin,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],find*first*leak*callback@xargs@findutils,find*first*leak*callback,hol*cluster*cmp,['BLANK'; 'BLANK'; 'BLANK']
[-],PreventLexSplit@mod@mcsim,PreventLexSplit,,['UNK'; 'BLANK'; 'str'; 'BLANK'; 'BLANK'; 'BLANK']
[-],EvalParen@mod@mcsim,EvalParen,grecs*parse*system,['BLANK'; 'BLANK'; 'BLANK']
[-],stmt*end@direvent@direvent,stmt*end,do,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[+],grecs*str*is*ipv6@direvent@direvent,grecs*str*is*ipv6,grecs*str*is*ipv6,['BLANK'; 'BLANK']
