PredCode,package,Original,Predicted,Thrown
[-],4218696@gawk@gawk,4218696,POP,['UNK'; 'BLANK'; 'BLANK']
[-],4302758@gawk@gawk,4302758,do,['UNK'; 'BLANK'; 'BLANK']
[-],4287932@gawk@gawk,4287932,make,['UNK'; 'BLANK'; 'BLANK']
[-],4231878@gawk@gawk,4231878,,['UNK'; 'real'; 'BLANK'; 'BLANK']
[-],4296120@gawk@gawk,4296120,mh*whom*file,['BLANK']
[-],4219688@gawk@gawk,4219688,read*array,['BLANK'; 'BLANK']
[-],4303414@gawk@gawk,4303414,do*sqrt,['BLANK'; 'BLANK']
[-],4295815@gawk@gawk,4295815,list*completion,['BLANK'; 'BLANK']
[-],4300989@gawk@gawk,4300989,,['UNK'; 'multibyte'; 'BLANK'; 'BLANK']
[-],4287189@gawk@gawk,4287189,do*undo,['BLANK'; 'BLANK']
[-],4219170@gawk@gawk,4219170,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4296493@gawk@gawk,4296493,lookup*builtin,['BLANK'; 'BLANK']
[-],4302864@gawk@gawk,4302864,do*length,['BLANK'; 'BLANK']
[-],4299252@gawk@gawk,4299252,do*exp,['BLANK'; 'BLANK']
[-],4303671@gawk@gawk,4303671,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4228746@gawk@gawk,4228746,print,['UNK'; 'BLANK'; 'BLANK']
[-],4290356@gawk@gawk,4290356,fifo*hol,['BLANK'; 'BLANK'; 'BLANK']
[-],4228895@gawk@gawk,4228895,sort*up*value*number,['BLANK']
[-],4230111@gawk@gawk,4230111,b*group,['BLANK'; 'BLANK'; 'BLANK']
[-],4288506@gawk@gawk,4288506,proxy*binary,['BLANK'; 'BLANK'; 'BLANK']
[-],4283504@gawk@gawk,4283504,,['UNK'; 'UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4267472@gawk@gawk,4267472,adns*blank*char,['BLANK'; 'ipmi']
[-],4297959@gawk@gawk,4297959,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4263660@gawk@gawk,4263660,search,['BLANK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4225400@gawk@gawk,4225400,,['UNK'; 'BLANK'; 'UNK'; 'BLANK'; 'BLANK']
[-],4319813@gawk@gawk,4319813,printf*common,['BLANK'; 'p'; 'BLANK']
[-],4285494@gawk@gawk,4285494,install*function,['BLANK'; 'BLANK'; 'BLANK']
[-],4286239@gawk@gawk,4286239,func*use,['BLANK'; 'BLANK'; 'BLANK']
[-],4289430@gawk@gawk,4289430,system*timespec*cmp,['BLANK'; 'BLANK']
[-],4264215@gawk@gawk,4264215,load,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4287341@gawk@gawk,4287341,doPrognameEnv,['BLANK'; 'init'; 'BLANK'; 'BLANK']
[-],4287059@gawk@gawk,4287059,,['UNK'; 'get'; 'BLANK'; 'fn'; 'BLANK']
[-],4264591@gawk@gawk,4264591,next,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4220534@gawk@gawk,4220534,print,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4228071@gawk@gawk,4228071,,['UNK'; 'BLANK'; 'BLANK'; 'BLANK']
[-],4283829@gawk@gawk,4283829,cint*list,['BLANK'; 'BLANK']
[-],4269668@gawk@gawk,4269668,,['UNK'; 'newline'; 'BLANK'; 'BLANK']
[-],4225816@gawk@gawk,4225816,do,['UNK'; 'BLANK'; 'BLANK']
[-],4284279@gawk@gawk,4284279,dump*vars,['BLANK'; 'BLANK']
[-],4326689@gawk@gawk,4326689,do*close,['BLANK'; 'BLANK']
[-],4285780@gawk@gawk,4285780,of*command,['BLANK'; 'BLANK']
[-],4221651@gawk@gawk,4221651,r*get*lhs,['BLANK']
[-],4222108@gawk@gawk,4222108,concat*exp,['BLANK'; 'BLANK']
[-],4325897@gawk@gawk,4325897,do*mktime,['BLANK'; 'BLANK']
[-],4293868@gawk@gawk,4293868,mk*for*loop,['BLANK']
[-],4221046@gawk@gawk,4221046,array,['UNK'; 'BLANK']
[-],4289799@gawk@gawk,4289799,print*header,['BLANK']
[-],4222807@gawk@gawk,4222807,adjust,['UNK'; 'BLANK']
[-],4284946@gawk@gawk,4284946,scan*ipmi,['BLANK']
[-],4257567@gawk@gawk,4257567,,['UNK'; 'num'; 'BLANK']
[-],4328354@gawk@gawk,4328354,do*print,['BLANK']
[-],4325495@gawk@gawk,4325495,mktime*tz,['BLANK']
[-],4261688@gawk@gawk,4261688,parse*program,['BLANK']
[-],4294420@gawk@gawk,4294420,get*opt,['BLANK']
[-],4298641@gawk@gawk,4298641,,['UNK'; 'BLANK'; 'BLANK']
[-],4293266@gawk@gawk,4293266,mk*getline,['BLANK']
[-],4301260@gawk@gawk,4301260,do*index,['BLANK']
[-],4223089@gawk@gawk,4223089,hostlist*delete,['BLANK']
